observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
153223,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
118177,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
35046,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
47799,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
28618,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
19181,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
53848,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
41233,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
12615,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
42680,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
39788,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
2892,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
8896,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
8538,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
358,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
138392,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
106435,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
31957,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
43269,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
25639,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
17630,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
47784,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
36389,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
11395,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
39219,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
36540,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
2679,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
8120,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
7867,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
253,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Males,Males,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
14831,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
11742,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
3089,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
4530,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
2979,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
1551,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
6064,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
4844,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
1220,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
3461,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
3248,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
213,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
776,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
671,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
105,,Person,,Count,,,,,,,,,,K04000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,Females,Females,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
146348,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
112447,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
33901,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,All categories: Age 16 and over,All categories: Age 16 and over,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
45149,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
26614,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
18535,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 16 to 24,Age 16 to 24,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
51604,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
39425,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
12179,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 25 to 34,Age 25 to 34,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
41105,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
38264,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
2841,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 35 to 49,Age 35 to 49,,,,Residence Type,Residence Type,,Lives in a communal establishment,Lives in a communal establishment,,,
8490,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,All categories: Residence Type,All categories: Residence Type,,,
8144,,Person,,Count,,,,,,,,,,E92000001,,,,,,,,,,,,,,,,,,,,,Sex,Sex,,All categories: Sex,All categories: Sex,,,,Age,Age,,Age 50 and over,Age 50 and over,,,,Residence Type,Residence Type,,Lives in a household,Lives in a household,,,
