Observation,Data_Marking,ValueDomain,Obs_Type,Obs_Type_Value,Unit_of_Measure_Eng,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2,Dimension_3,Dimension_Value_3
153223,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
118177,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
35046,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
47799,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
28618,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
19181,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
53848,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
41233,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
12615,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
42680,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
39788,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
2892,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
8896,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
8538,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
358,,Count,,,,K04000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
138392,,Count,,,,K04000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
106435,,Count,,,,K04000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
31957,,Count,,,,K04000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
43269,,Count,,,,K04000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
25639,,Count,,,,K04000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
17630,,Count,,,,K04000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
47784,,Count,,,,K04000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
36389,,Count,,,,K04000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
11395,,Count,,,,K04000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
39219,,Count,,,,K04000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
36540,,Count,,,,K04000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
2679,,Count,,,,K04000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
8120,,Count,,,,K04000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
7867,,Count,,,,K04000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
253,,Count,,,,K04000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
14831,,Count,,,,K04000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
11742,,Count,,,,K04000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
3089,,Count,,,,K04000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
4530,,Count,,,,K04000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
2979,,Count,,,,K04000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
1551,,Count,,,,K04000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
6064,,Count,,,,K04000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
4844,,Count,,,,K04000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
1220,,Count,,,,K04000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
3461,,Count,,,,K04000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
3248,,Count,,,,K04000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
213,,Count,,,,K04000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
776,,Count,,,,K04000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
671,,Count,,,,K04000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
105,,Count,,,,K04000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
146348,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
112447,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
33901,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
45149,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
26614,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
18535,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
51604,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
39425,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
12179,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
41105,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
38264,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
2841,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
8490,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
8144,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
346,,Count,,,,E92000001,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
132026,,Count,,,,E92000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
101145,,Count,,,,E92000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
30881,,Count,,,,E92000001,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
40844,,Count,,,,E92000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
23830,,Count,,,,E92000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
17014,,Count,,,,E92000001,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
45720,,Count,,,,E92000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
34724,,Count,,,,E92000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
10996,,Count,,,,E92000001,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
37724,,Count,,,,E92000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
35095,,Count,,,,E92000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
2629,,Count,,,,E92000001,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
7738,,Count,,,,E92000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
7496,,Count,,,,E92000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
242,,Count,,,,E92000001,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
14322,,Count,,,,E92000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
11302,,Count,,,,E92000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
3020,,Count,,,,E92000001,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
4305,,Count,,,,E92000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
2784,,Count,,,,E92000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
1521,,Count,,,,E92000001,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
5884,,Count,,,,E92000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
4701,,Count,,,,E92000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
1183,,Count,,,,E92000001,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
3381,,Count,,,,E92000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
3169,,Count,,,,E92000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
212,,Count,,,,E92000001,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
752,,Count,,,,E92000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
648,,Count,,,,E92000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
104,,Count,,,,E92000001,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
6875,,Count,,,,W92000004,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
