Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
153223,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,All categories: Age 16 and over,,Residence Type,All categories: Residence Type
118177,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,All categories: Age 16 and over,,Residence Type,Lives in a household
35046,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,All categories: Age 16 and over,,Residence Type,Lives in a communal establishment
47799,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 16 to 24,,Residence Type,All categories: Residence Type
28618,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 16 to 24,,Residence Type,Lives in a household
19181,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 16 to 24,,Residence Type,Lives in a communal establishment
53848,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 25 to 34,,Residence Type,All categories: Residence Type
41233,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 25 to 34,,Residence Type,Lives in a household
12615,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 25 to 34,,Residence Type,Lives in a communal establishment
42680,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 35 to 49,,Residence Type,All categories: Residence Type
39788,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 35 to 49,,Residence Type,Lives in a household
2892,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 35 to 49,,Residence Type,Lives in a communal establishment
8896,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 50 and over,,Residence Type,All categories: Residence Type
8538,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 50 and over,,Residence Type,Lives in a household
358,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,All categories: Sex,,Age,Age 50 and over,,Residence Type,Lives in a communal establishment
138392,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,All categories: Age 16 and over,,Residence Type,All categories: Residence Type
106435,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,All categories: Age 16 and over,,Residence Type,Lives in a household
31957,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,All categories: Age 16 and over,,Residence Type,Lives in a communal establishment
43269,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 16 to 24,,Residence Type,All categories: Residence Type
25639,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 16 to 24,,Residence Type,Lives in a household
17630,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 16 to 24,,Residence Type,Lives in a communal establishment
47784,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 25 to 34,,Residence Type,All categories: Residence Type
36389,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 25 to 34,,Residence Type,Lives in a household
11395,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 25 to 34,,Residence Type,Lives in a communal establishment
39219,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 35 to 49,,Residence Type,All categories: Residence Type
36540,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 35 to 49,,Residence Type,Lives in a household
2679,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 35 to 49,,Residence Type,Lives in a communal establishment
8120,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 50 and over,,Residence Type,All categories: Residence Type
7867,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 50 and over,,Residence Type,Lives in a household
253,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Males,,Age,Age 50 and over,,Residence Type,Lives in a communal establishment
14831,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,All categories: Age 16 and over,,Residence Type,All categories: Residence Type
11742,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,All categories: Age 16 and over,,Residence Type,Lives in a household
3089,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,All categories: Age 16 and over,,Residence Type,Lives in a communal establishment
4530,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 16 to 24,,Residence Type,All categories: Residence Type
2979,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 16 to 24,,Residence Type,Lives in a household
1551,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 16 to 24,,Residence Type,Lives in a communal establishment
6064,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 25 to 34,,Residence Type,All categories: Residence Type
4844,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 25 to 34,,Residence Type,Lives in a household
1220,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 25 to 34,,Residence Type,Lives in a communal establishment
3461,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 35 to 49,,Residence Type,All categories: Residence Type
3248,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 35 to 49,,Residence Type,Lives in a household
213,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 35 to 49,,Residence Type,Lives in a communal establishment
776,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 50 and over,,Residence Type,All categories: Residence Type
671,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 50 and over,,Residence Type,Lives in a household
105,,,2011STATH,Geographic_Hierarchy,K04000001,,Sex,Females,,Age,Age 50 and over,,Residence Type,Lives in a communal establishment
146348,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,All categories: Age 16 and over,,Residence Type,All categories: Residence Type
112447,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,All categories: Age 16 and over,,Residence Type,Lives in a household
33901,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,All categories: Age 16 and over,,Residence Type,Lives in a communal establishment
45149,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 16 to 24,,Residence Type,All categories: Residence Type
26614,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 16 to 24,,Residence Type,Lives in a household
18535,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 16 to 24,,Residence Type,Lives in a communal establishment
51604,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 25 to 34,,Residence Type,All categories: Residence Type
39425,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 25 to 34,,Residence Type,Lives in a household
12179,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 25 to 34,,Residence Type,Lives in a communal establishment
41105,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 35 to 49,,Residence Type,All categories: Residence Type
38264,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 35 to 49,,Residence Type,Lives in a household
2841,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 35 to 49,,Residence Type,Lives in a communal establishment
8490,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 50 and over,,Residence Type,All categories: Residence Type
8144,,,2011STATH,Geographic_Hierarchy,E92000001,,Sex,All categories: Sex,,Age,Age 50 and over,,Residence Type,Lives in a household
